Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-06-30,11.14600,0.36800,10.77800,9.65700,,11.04200,-0.26400,0.27700,0.01300,-0.02500,0.03800,0.03800,0.03800,1.11900,-0.26400,1.38100,1.38100,0.03000,0.03000,2.72140,0.18380,0.22520,96.69840,-2.36860,-2.36860,0.11660,0.34090,0.04730,7.66670,1.34810,66.76120,0.02900,0.03850,0.01610,0.02370,94.84070,2.6575,2.517
2014-03-31,10.82800,0.25100,10.57700,9.71000,,11.09500,-0.51800,0.59100,0.07300,0.02000,0.05300,0.05300,0.05300,0.86700,-0.51800,1.38100,1.38100,0.04000,0.04000,2.73530,0.18310,0.22410,97.68190,-4.78390,-4.78390,0.67420,0.48950,0.04680,6.60530,1.70390,52.82140,0.04030,0.05410,0.02290,0.03290,95.31210,0.924,0.8386
2013-12-31,9.95100,0.32900,9.62200,9.52700,,10.89100,-1.26900,0.61900,-0.65000,-0.01000,-0.64000,-0.64000,-0.64000,0.09500,-1.26900,1.38100,1.38100,-0.46000,-0.46000,2.74620,0.19610,0.24390,96.69380,-12.75250,-12.75250,-6.53200,-6.43150,0.04650,10.28130,1.57780,57.04250,-0.52930,-0.74340,-0.29920,-0.42550,87.54960,-0.81900,-0.88490
2013-09-30,11.02600,0.30700,10.71900,8.31700,,9.21400,1.50500,-1.02300,0.48300,-0.48500,0.96800,0.96800,0.96800,2.40400,1.50500,1.38100,1.38100,0.71000,0.71000,2.70240,0.20650,0.26020,97.21570,13.64950,13.64950,4.38060,8.77930,0.05430,5.48210,1.66580,54.02780,0.85400,1.25170,0.47670,0.67770,82.07600,2.1999,2.1839
2013-06-30,9.20400,0.37900,8.82500,7.74400,,8.37900,0.44600,0.71500,1.16100,0.33500,0.82600,0.82600,0.82600,1.08000,0.44600,1.38100,1.38100,0.60000,0.60000,2.77340,0.11680,0.13230,95.88220,4.84570,4.84570,12.61410,8.97440,0.05300,8.06380,1.59650,56.37220,0.78040,0.99010,0.47540,0.68930,76.63870,1.1528,1.0789
2013-03-31,9.75300,0.27600,9.47700,7.72000,,8.34000,1.13700,0.52400,1.66100,0.51000,1.15100,1.15100,1.15100,1.75600,1.13700,1.38100,1.38100,0.83000,0.83000,2.74380,0.12270,0.13980,97.17010,11.65800,11.65800,17.03070,11.80150,0.05880,6.90000,1.48760,60.49830,1.14960,1.49020,0.69440,1.00850,72.50180,0.3577,0.2933
2012-12-31,7.69300,0.34500,7.34800,6.35800,,6.64700,0.70100,0.56300,1.26400,0.43000,0.83400,0.83400,0.83400,0.99000,0.70100,1.38100,1.38100,0.60000,0.60000,2.75030,0.12810,0.14700,95.51540,9.11220,9.11220,16.43050,10.84100,0.04860,7.34040,1.45230,61.96930,0.87550,1.16010,0.52630,0.76330,68.97680,0.39680,0.34830
2012-09-30,7.75700,0.29800,7.45900,5.32300,,5.45500,2.00400,0.55400,2.55800,0.97500,1.58300,1.58300,1.58300,2.13500,2.00400,1.38100,1.38100,1.14000,1.14000,3.72830,,,96.15830,25.83480,25.83480,32.97670,20.40740,0.06410,6.93020,1.31360,68.51230,1.81480,1.81480,1.30870,1.81480,63.16080,0.4178,0.4033
2012-06-30,8.13100,0.36000,7.77100,5.41100,,5.53700,2.23400,-2.25100,-0.01700,-0.22500,0.20800,0.20800,0.20800,2.35800,2.23400,1.38100,1.38100,0.15000,0.15000,3.64330,,,95.57250,27.47510,27.47510,-0.20910,2.55810,0.06910,9.47370,1.51730,59.31740,0.24770,0.24770,0.17680,0.24770,60.81610,1.6517,1.614
2012-03-31,8.06600,0.30600,7.76000,5.45000,,5.57600,2.18400,0.59000,2.77400,0.73000,2.04400,2.04400,2.04400,2.30900,2.18400,1.38100,1.38100,1.48000,1.48000,3.58250,,,96.20630,27.07660,27.07660,34.39130,25.34090,0.06690,9.87100,1.72870,52.06300,2.39150,2.39150,1.69470,2.39150,61.88920,2.5062,2.3715
